Region,JavaScript,Java,Python,PHP,SQL,TypeScript,C#,C++,Go,Kotlin
"Africa, Middle East, Central Asia",47,25,25,33,18,10,13,9,4,5
Argentina,50,29,21,19,24,13,16,5,5,5
Belarus,36,26,18,15,17,13,16,7,3,5
Brazil,50,28,25,24,24,14,13,5,3,8
Canada,41,31,36,19,14,16,15,13,5,6
China,32,47,30,9,15,11,8,13,15,6
"East Europe, Balkan and Caucasus",36,24,22,28,19,18,15,10,5,6
France,47,21,20,43,17,18,8,7,5,4
Germany,32,33,23,32,15,19,15,11,7,8
India,40,38,44,12,16,9,5,23,5,7
Japan,28,25,29,21,18,18,13,8,10,9
Latin America,50,30,30,23,24,14,16,5,4,7
Mexico,52,35,29,23,25,12,18,7,2,7
Northern Europe and Benelux,37,24,24,34,18,17,18,8,4,7
Other Europe,43,28,23,30,17,17,13,9,5,6
Other South-East Asia and Oceania,42,27,27,26,18,13,13,8,8,8
Russia,28,18,23,19,23,13,15,13,9,8
South Korea,40,53,31,5,21,10,6,11,4,10
Spain,43,34,24,31,23,15,11,4,5,7
Turkey,37,23,25,21,20,6,34,7,4,6
Ukraine,38,20,18,22,21,14,16,6,6,4
England,41,22,27,33,18,16,16,8,6,4
USA,40,27,35,27,21,13,13,12,7,6
